Id;Latitude;Longitude;Cluster
043525b7-c572-4bae-a07e-2ba8b6b561e1;-7.0446752;-34.8438983;6
0443d073-78a4-4d70-b529-76342dbdaf06;-7.0739218;-34.8447227;4
0450f110-bd61-47e4-9ed1-9a7780658ae8;-7.1001;-34.86441;6
04777615-b1fb-408e-9e04-d912631d4e22;-7.20914;-34.83319;6
047bb722-1409-4a4a-a2ef-80af8526b49e;-7.0624154;-34.8435103;4
04846965-30ef-44cb-bfa7-5bc2d998d1ed;-7.1545674;-34.8392412;0
04863a16-6031-46f4-b7a0-27e6b427f6e0;-7.158368;-34.8470973;6
049707a4-4b0c-4767-9fdd-fdbea82d1e2d;-7.0852969;-34.8406677;4
049e3e5a-3f29-48bd-8048-964c68ea10e9;-7.08862;-34.83629;4
04be0716-2726-4f33-a9c6-0cef39f4ab6b;-6.9776646;-34.8312347;3
04d220f4-f8db-4528-b834-a40508a9383f;-8.0331554;-34.8956273;0
04d40d0e-4d44-42aa-a1d8-0ede3805143c;-7.1252473;-34.869599;6
04d61254-ad20-40c5-b0c6-08f26e3f004b;-7.1089846;-34.8339923;6
04dffa23-67b3-4441-9a9d-ee96c427329d;-7.12461;-34.89974;0
04e60aba-9022-43d2-9055-29c001f3af3a;-7.0531735;-34.8484542;6
05105f9b-e219-4f67-be9f-d191488df4ee;-7.1379187;-34.8273816;6
051c39eb-c4e7-4aae-ab20-4a1b25d4cef4;-7.1014492;-34.8421834;6
05423185-a506-40e8-a2f0-c9e42b4013d7;-7.16348;-34.89038;0
054a11e9-be3e-4f8c-b6c2-88fa5d3d3868;-7.0890672;-34.8378296;4
05753436-90c0-4668-8b89-8be790b672ca;-7.2214355;-35.8715384;0
05a9cc8b-eda9-4d02-a1ee-3dccecf4af6d;-7.1938482;-34.8604635;6
05d1f508-5867-4b0e-912e-de91a7169587;-7.1532234;-34.8114748;6
05de6c7a-1560-46a2-a262-12c5f4cbaad7;-7.1152427;-34.8606275;6
05ec22f2-501b-4180-99f1-49849f9dcc5e;-7.0939295;-34.8436396;4
05f21317-ba54-498a-b16a-2a2e9a59b84c;-7.1525418;-34.8304694;6
05f8f0c3-d80a-4fea-8ca1-238b94af77bb;-7.1485339;-34.8387593;6
061f324a-20dd-4358-a4b7-d0c8bb9bebdb;-7.1623285;-34.8728002;6
0623b31d-c1a6-4a89-9e68-b11b82d64ed7;-7.0894189;-34.8363773;4
062549c0-5929-4547-9a6a-4349abbddf35;-7.1827332;-34.8605217;3
0625b6ef-6a96-4785-a5ba-dc7911d2a477;-7.032329;-34.837562;5
063f5d8f-e524-43ef-97ee-60e4bb0013ad;-7.1163992;-34.8867411;6
06489b74-d786-4e41-8761-83f535627ca4;-7.080857;-34.831574;4
06558175-a7ad-49eb-accc-f3e35cc25c34;-7.1325047;-34.8289521;6
065d5dfe-c9ae-470b-ab4f-4b7d098a0e8d;-7.1731198;-34.8578155;5
06646501-24f3-44b4-8e7e-654177e0a65c;-7.0827029;-34.8378393;4
066ec718-9ac5-44ef-9846-6f97af37f667;-7.0736766;-34.83881;4
06981863-043f-4de9-a64a-83a131e7d8b2;-7.1320236;-34.8296027;6
06d52c5d-95d0-4a6f-9236-348cd8f98eaa;-6.8995697;-34.8686477;0
